"name","franchID","W","L","park","attendance","yearID","games","win.perc","Capacity","Attend.G","Att.perc"
"Anaheim Angels","LAA",85,77,"Angel Stadium",2519280,1998,162,0.525,45493,31102,0.684
"Arizona Diamondbacks","ARI",65,97,"Chase Field",3610290,1998,162,0.401,48519,44571,0.919
"Atlanta Braves","ATL",106,56,"Turner Field",3360860,1998,162,0.654,50096,41492,0.828
"Baltimore Orioles","BAL",79,83,"Oriole Park at Camden Yards",3684650,1998,162,0.488,45971,45490,0.99
"Boston Red Sox","BOS",92,70,"Fenway Park",2314704,1998,162,0.568,37673,28577,0.759
"Chicago White Sox","CHW",80,82,"U.S. Cellular Field",1391146,1998,162,0.494,40615,17175,0.423
"Chicago Cubs","CHC",90,73,"Wrigley Field",2623194,1998,163,0.552,40929,32186,0.786
"Cincinnati Reds","CIN",77,85,"Riverfront Stadium",1793649,1998,162,0.475,52952,22144,0.418
"Cleveland Indians","CLE",89,73,"Progressive Field",3467299,1998,162,0.549,37630,42806,1.138
"Colorado Rockies","COL",77,85,"Coors Field",3792683,1998,162,0.475,50398,46823,0.929
"Detroit Tigers","DET",65,97,"Tiger Stadium",1409391,1998,162,0.401,52400,17400,0.332
"Florida Marlins","MIA",54,108,"Pro Player Stadium",1730384,1998,162,0.333,47972,21363,0.445
"Houston Astros","HOU",102,60,"Astrodome",2458451,1998,162,0.63,54816,30351,0.554
"Kansas City Royals","KCR",72,89,"Kauffman Stadium",1494875,1998,161,0.447,38177,18570,0.486
"Los Angeles Dodgers","LAD",83,79,"Dodger Stadium",3089222,1998,162,0.512,56000,38139,0.681
"Milwaukee Brewers","MIL",74,88,"County Stadium",1811593,1998,162,0.457,53192,22365,0.42
"Minnesota Twins","MIN",70,92,"Hubert H Humphrey Metrodome",1165976,1998,162,0.432,56144,14395,0.256
"Montreal Expos","WSN",65,97,"Stade Olympique",914909,1998,162,0.401,46500,11295,0.243
"New York Yankees","NYY",114,48,"Yankee Stadium",2955193,1998,162,0.704,56937,36484,0.641
"New York Mets","NYM",88,74,"Shea Stadium",2287948,1998,162,0.543,57333,28246,0.493
"Oakland Athletics","OAK",74,88,"Oakland Coliseum",1232343,1998,162,0.457,35067,15214,0.434
"Philadelphia Phillies","PHI",75,87,"Veterans Stadium",1715722,1998,162,0.463,62623,21182,0.338
"Pittsburgh Pirates","PIT",69,93,"Three Rivers Stadium",1560950,1998,162,0.426,47952,19271,0.402
"San Diego Padres","SDP",98,64,"Qualcomm Stadium",2555874,1998,162,0.605,56133,31554,0.562
"Seattle Mariners","SEA",76,85,"Kingdome",2651511,1998,161,0.472,59100,32938,0.557
"San Francisco Giants","SFG",89,74,"Candlestick Park",1925364,1998,163,0.546,57546,23624,0.411
"St. Louis Cardinals","STL",83,79,"Busch Stadium II",3195691,1998,162,0.512,49676,39453,0.794
"Tampa Bay Devil Rays","TBR",63,99,"Tropicana Field",2506293,1998,162,0.389,31042,30942,0.997
"Texas Rangers","TEX",88,74,"Rangers Ballpark in Arlington",2927399,1998,162,0.543,48911,36141,0.739
"Toronto Blue Jays","TOR",88,74,"Skydome",2454303,1998,162,0.543,50516,30300,0.6
"Anaheim Angels","LAA",70,92,"Angel Stadium",2253123,1999,162,0.432,45493,27816,0.611
"Arizona Diamondbacks","ARI",100,62,"Chase Field",3019654,1999,162,0.617,48519,37280,0.768
"Atlanta Braves","ATL",103,59,"Turner Field",3284897,1999,162,0.636,50096,40554,0.81
"Baltimore Orioles","BAL",78,84,"Oriole Park at Camden Yards",3433150,1999,162,0.481,45971,42385,0.922
"Boston Red Sox","BOS",94,68,"Fenway Park",2446162,1999,162,0.58,37673,30200,0.802
"Chicago White Sox","CHW",75,86,"U.S. Cellular Field",1338851,1999,161,0.466,40615,16632,0.41
"Chicago Cubs","CHC",67,95,"Wrigley Field",2813854,1999,162,0.414,40929,34739,0.849
"Cincinnati Reds","CIN",96,67,"Riverfront Stadium",2061222,1999,163,0.589,52952,25291,0.478
"Cleveland Indians","CLE",97,65,"Progressive Field",3468456,1999,162,0.599,37630,42820,1.138
"Colorado Rockies","COL",72,90,"Coors Field",3481065,1999,162,0.444,50398,42976,0.853
"Detroit Tigers","DET",69,92,"Tiger Stadium",2026441,1999,161,0.429,52400,25173,0.48
"Florida Marlins","MIA",64,98,"Pro Player Stadium",1369421,1999,162,0.395,47972,16906,0.352
"Houston Astros","HOU",97,65,"Astrodome",2706017,1999,162,0.599,54816,33408,0.609
"Kansas City Royals","KCR",64,97,"Kauffman Stadium",1506068,1999,161,0.398,38177,18709,0.49
"Los Angeles Dodgers","LAD",77,85,"Dodger Stadium",3095346,1999,162,0.475,56000,38214,0.682
"Milwaukee Brewers","MIL",74,87,"County Stadium",1701796,1999,161,0.46,53192,21140,0.397
"Minnesota Twins","MIN",63,97,"Hubert H Humphrey Metrodome",1202829,1999,160,0.394,56144,15035,0.268
"Montreal Expos","WSN",68,94,"Stade Olympique",773277,1999,162,0.42,46500,9547,0.205
"New York Yankees","NYY",98,64,"Yankee Stadium",3292736,1999,162,0.605,56937,40651,0.714
"New York Mets","NYM",97,66,"Shea Stadium",2725668,1999,163,0.595,57333,33444,0.583
"Oakland Athletics","OAK",87,75,"Oakland Coliseum",1434610,1999,162,0.537,35067,17711,0.505
"Philadelphia Phillies","PHI",77,85,"Veterans Stadium",1825337,1999,162,0.475,62623,22535,0.36
"Pittsburgh Pirates","PIT",78,83,"Three Rivers Stadium",1638023,1999,161,0.484,47952,20348,0.424
"San Diego Padres","SDP",74,88,"Qualcomm Stadium",2523538,1999,162,0.457,56133,31155,0.555
"Seattle Mariners","SEA",79,83,"Kingdome",2916346,1999,162,0.488,59100,36004,0.609
"San Francisco Giants","SFG",86,76,"Candlestick Park",2078399,1999,162,0.531,57546,25659,0.446
"St. Louis Cardinals","STL",75,86,"Busch Stadium II",3225334,1999,161,0.466,49676,40066,0.807
"Tampa Bay Devil Rays","TBR",69,93,"Tropicana Field",1562827,1999,162,0.426,31042,19294,0.622
"Texas Rangers","TEX",95,67,"Rangers Ballpark in Arlington",2771469,1999,162,0.586,48911,34216,0.7
"Toronto Blue Jays","TOR",84,78,"Skydome",2163464,1999,162,0.519,50516,26709,0.529
"Anaheim Angels","LAA",82,80,"Angel Stadium",2066982,2000,162,0.506,45493,25518,0.561
"Arizona Diamondbacks","ARI",85,77,"Chase Field",2942251,2000,162,0.525,48519,36324,0.749
"Atlanta Braves","ATL",95,67,"Turner Field",3234304,2000,162,0.586,50096,39930,0.797
"Baltimore Orioles","BAL",74,88,"Oriole Park at Camden Yards",3297031,2000,162,0.457,45971,40704,0.885
"Boston Red Sox","BOS",85,77,"Fenway Park",2585895,2000,162,0.525,37673,31925,0.847
"Chicago White Sox","CHW",95,67,"U.S. Cellular Field",1947799,2000,162,0.586,40615,24047,0.592
"Chicago Cubs","CHC",65,97,"Wrigley Field",2789511,2000,162,0.401,40929,34438,0.841
"Cincinnati Reds","CIN",85,77,"Riverfront Stadium",2577371,2000,162,0.525,52952,31819,0.601
"Cleveland Indians","CLE",90,72,"Progressive Field",3456278,2000,162,0.556,37630,42670,1.134
"Colorado Rockies","COL",82,80,"Coors Field",3295129,2000,162,0.506,50398,40681,0.807
"Detroit Tigers","DET",79,83,"Comerica Park",2438617,2000,162,0.488,41574,30106,0.724
"Florida Marlins","MIA",79,82,"Pro Player Stadium",1218326,2000,161,0.491,47972,15134,0.315
"Houston Astros","HOU",72,90,"Minute Maid Park",3056139,2000,162,0.444,41574,37730,0.908
"Kansas City Royals","KCR",77,85,"Kauffman Stadium",1564847,2000,162,0.475,38177,19319,0.506
"Los Angeles Dodgers","LAD",86,76,"Dodger Stadium",2880242,2000,162,0.531,56000,35559,0.635
"Milwaukee Brewers","MIL",73,89,"County Stadium",1573621,2000,162,0.451,53192,19427,0.365
"Minnesota Twins","MIN",69,93,"Hubert H Humphrey Metrodome",1000760,2000,162,0.426,56144,12355,0.22
"Montreal Expos","WSN",67,95,"Stade Olympique",926272,2000,162,0.414,46500,11435,0.246
"New York Yankees","NYY",87,74,"Yankee Stadium",3055435,2000,161,0.54,56937,37956,0.667
"New York Mets","NYM",94,68,"Shea Stadium",2820530,2000,162,0.58,57333,34821,0.607
"Oakland Athletics","OAK",91,70,"Oakland Coliseum",1603744,2000,161,0.565,35067,19922,0.568
"Philadelphia Phillies","PHI",65,97,"Veterans Stadium",1612769,2000,162,0.401,62623,19911,0.318
"Pittsburgh Pirates","PIT",69,93,"Three Rivers Stadium",1748908,2000,162,0.426,47952,21591,0.45
"San Diego Padres","SDP",76,86,"Qualcomm Stadium",2352443,2000,162,0.469,56133,29043,0.517
"Seattle Mariners","SEA",91,71,"Safeco Field",2914624,2000,162,0.562,47116,35983,0.764
"San Francisco Giants","SFG",97,65,"AT&T Park",3318800,2000,162,0.599,41915,40973,0.978
"St. Louis Cardinals","STL",95,67,"Busch Stadium II",3336493,2000,162,0.586,49676,41191,0.829
"Tampa Bay Devil Rays","TBR",69,92,"Tropicana Field",1449673,2000,161,0.429,31042,18008,0.58
"Texas Rangers","TEX",71,91,"Rangers Ballpark in Arlington",2588401,2000,162,0.438,48911,31956,0.653
"Toronto Blue Jays","TOR",83,79,"Skydome",1705712,2000,162,0.512,50516,21058,0.417
"Anaheim Angels","LAA",75,87,"Angel Stadium",2000919,2001,162,0.463,45493,24703,0.543
"Arizona Diamondbacks","ARI",92,70,"Chase Field",2736451,2001,162,0.568,48519,33783,0.696
"Atlanta Braves","ATL",88,74,"Turner Field",2823530,2001,162,0.543,50096,34858,0.696
"Baltimore Orioles","BAL",63,98,"Oriole Park at Camden Yards",3094841,2001,161,0.391,45971,38445,0.836
"Boston Red Sox","BOS",82,79,"Fenway Park",2625333,2001,161,0.509,37673,32613,0.866
"Chicago White Sox","CHW",83,79,"U.S. Cellular Field",1766172,2001,162,0.512,40615,21805,0.537
"Chicago Cubs","CHC",88,74,"Wrigley Field",2779465,2001,162,0.543,40929,34314,0.838
"Cincinnati Reds","CIN",66,96,"Riverfront Stadium",1879757,2001,162,0.407,52952,23207,0.438
"Cleveland Indians","CLE",91,71,"Progressive Field",3175523,2001,162,0.562,37630,39204,1.042
"Colorado Rockies","COL",73,89,"Coors Field",3166821,2001,162,0.451,50398,39097,0.776
"Detroit Tigers","DET",66,96,"Comerica Park",1921305,2001,162,0.407,41574,23720,0.571
"Florida Marlins","MIA",76,86,"Pro Player Stadium",1261226,2001,162,0.469,47972,15571,0.325
"Houston Astros","HOU",93,69,"Minute Maid Park",2904277,2001,162,0.574,41574,35855,0.862
"Kansas City Royals","KCR",65,97,"Kauffman Stadium",1536371,2001,162,0.401,38177,18968,0.497
"Los Angeles Dodgers","LAD",86,76,"Dodger Stadium",3017143,2001,162,0.531,56000,37249,0.665
"Milwaukee Brewers","MIL",68,94,"Miller Park",2811041,2001,162,0.42,41900,34704,0.828
"Minnesota Twins","MIN",85,77,"Hubert H Humphrey Metrodome",1782929,2001,162,0.525,56144,22011,0.392
"Montreal Expos","WSN",68,94,"Stade Olympique",642745,2001,162,0.42,46500,7935,0.171
"New York Yankees","NYY",95,65,"Yankee Stadium",3264907,2001,160,0.594,56937,40811,0.717
"New York Mets","NYM",82,80,"Shea Stadium",2658330,2001,162,0.506,57333,32819,0.572
"Oakland Athletics","OAK",102,60,"Oakland Coliseum",2133277,2001,162,0.63,35067,26337,0.751
"Philadelphia Phillies","PHI",86,76,"Veterans Stadium",1782054,2001,162,0.531,62623,22001,0.351
"Pittsburgh Pirates","PIT",62,100,"PNC Park",2464870,2001,162,0.383,38496,30430,0.79
"San Diego Padres","SDP",79,83,"Qualcomm Stadium",2378128,2001,162,0.488,56133,29360,0.523
"Seattle Mariners","SEA",116,46,"Safeco Field",3507326,2001,162,0.716,47116,43300,0.919
"San Francisco Giants","SFG",90,72,"AT&T Park",3311958,2001,162,0.556,41915,40888,0.975
"St. Louis Cardinals","STL",93,69,"Busch Stadium II",3109578,2001,162,0.574,49676,38390,0.773
"Tampa Bay Devil Rays","TBR",62,100,"Tropicana Field",1298365,2001,162,0.383,31042,16029,0.516
"Texas Rangers","TEX",73,89,"Rangers Ballpark in Arlington",2831021,2001,162,0.451,48911,34951,0.715
"Toronto Blue Jays","TOR",80,82,"Skydome",1915438,2001,162,0.494,50516,23647,0.468
"Anaheim Angels","LAA",99,63,"Angel Stadium",2305547,2002,162,0.611,45493,28464,0.626
"Arizona Diamondbacks","ARI",98,64,"Chase Field",3198977,2002,162,0.605,48519,39494,0.814
"Atlanta Braves","ATL",101,59,"Turner Field",2603484,2002,160,0.631,50096,32544,0.65
"Baltimore Orioles","BAL",67,95,"Oriole Park at Camden Yards",2682439,2002,162,0.414,45971,33117,0.72
"Boston Red Sox","BOS",93,69,"Fenway Park",2650862,2002,162,0.574,37673,32727,0.869
"Chicago White Sox","CHW",81,81,"U.S. Cellular Field",1676911,2002,162,0.5,40615,20703,0.51
"Chicago Cubs","CHC",67,95,"Wrigley Field",2693096,2002,162,0.414,40929,33248,0.812
"Cincinnati Reds","CIN",78,84,"Riverfront Stadium",1855787,2002,162,0.481,52952,22911,0.433
"Cleveland Indians","CLE",74,88,"Progressive Field",2616940,2002,162,0.457,37630,32308,0.859
"Colorado Rockies","COL",73,89,"Coors Field",2737838,2002,162,0.451,50398,33800,0.671
"Detroit Tigers","DET",55,106,"Comerica Park",1503623,2002,161,0.342,41574,18679,0.449
"Florida Marlins","MIA",79,83,"Pro Player Stadium",813118,2002,162,0.488,47972,10038,0.209
"Houston Astros","HOU",84,78,"Minute Maid Park",2517357,2002,162,0.519,41574,31078,0.748
"Kansas City Royals","KCR",62,100,"Kauffman Stadium",1323036,2002,162,0.383,38177,16334,0.428
"Los Angeles Dodgers","LAD",92,70,"Dodger Stadium",3131255,2002,162,0.568,56000,38657,0.69
"Milwaukee Brewers","MIL",56,106,"Miller Park",1969153,2002,162,0.346,41900,24311,0.58
"Minnesota Twins","MIN",94,67,"Hubert H Humphrey Metrodome",1924473,2002,161,0.584,56144,23906,0.426
"Montreal Expos","WSN",83,79,"Stade Olympique",812045,2002,162,0.512,46500,10025,0.216
"New York Yankees","NYY",103,58,"Yankee Stadium",3465807,2002,161,0.64,56937,43054,0.756
"New York Mets","NYM",75,86,"Shea Stadium",2804838,2002,161,0.466,57333,34843,0.608
"Oakland Athletics","OAK",103,59,"Oakland Coliseum",2169811,2002,162,0.636,35067,26788,0.764
"Philadelphia Phillies","PHI",80,81,"Veterans Stadium",1618467,2002,161,0.497,62623,20105,0.321
"Pittsburgh Pirates","PIT",72,89,"PNC Park",1784988,2002,161,0.447,38496,22174,0.576
"San Diego Padres","SDP",66,96,"Qualcomm Stadium",2220601,2002,162,0.407,56133,27415,0.488
"Seattle Mariners","SEA",93,69,"Safeco Field",3542938,2002,162,0.574,47116,43740,0.928
"San Francisco Giants","SFG",95,66,"AT&T Park",3253203,2002,161,0.59,41915,40412,0.964
"St. Louis Cardinals","STL",97,65,"Busch Stadium II",3011756,2002,162,0.599,49676,37182,0.748
"Tampa Bay Devil Rays","TBR",55,106,"Tropicana Field",1065742,2002,161,0.342,31042,13239,0.426
"Texas Rangers","TEX",72,90,"Rangers Ballpark in Arlington",2352397,2002,162,0.444,48911,29042,0.594
"Toronto Blue Jays","TOR",78,84,"Skydome",1637900,2002,162,0.481,50516,20221,0.4
"Anaheim Angels","LAA",77,85,"Angel Stadium",3061094,2003,162,0.475,45493,37791,0.831
"Arizona Diamondbacks","ARI",84,78,"Chase Field",2805542,2003,162,0.519,48519,34636,0.714
"Atlanta Braves","ATL",101,61,"Turner Field",2401084,2003,162,0.623,50096,29643,0.592
"Baltimore Orioles","BAL",71,91,"Oriole Park at Camden Yards",2454523,2003,162,0.438,45971,30303,0.659
"Boston Red Sox","BOS",95,67,"Fenway Park",2724165,2003,162,0.586,37673,33632,0.893
"Chicago White Sox","CHW",86,76,"U.S. Cellular Field",1939524,2003,162,0.531,40615,23945,0.59
"Chicago Cubs","CHC",88,74,"Wrigley Field",2962630,2003,162,0.543,40929,36576,0.894
"Cincinnati Reds","CIN",69,93,"Great American Ball Park",2355259,2003,162,0.426,42271,29077,0.688
"Cleveland Indians","CLE",68,94,"Progressive Field",1730002,2003,162,0.42,37630,21358,0.568
"Colorado Rockies","COL",74,88,"Coors Field",2334085,2003,162,0.457,50398,28816,0.572
"Detroit Tigers","DET",43,119,"Comerica Park",1368245,2003,162,0.265,41574,16892,0.406
"Florida Marlins","MIA",91,71,"Pro Player Stadium",1303215,2003,162,0.562,47972,16089,0.335
"Houston Astros","HOU",87,75,"Minute Maid Park",2454241,2003,162,0.537,41574,30299,0.729
"Kansas City Royals","KCR",83,79,"Kauffman Stadium",1779895,2003,162,0.512,38177,21974,0.576
"Los Angeles Dodgers","LAD",85,77,"Dodger Stadium",3138626,2003,162,0.525,56000,38748,0.692
"Milwaukee Brewers","MIL",68,94,"Miller Park",1700354,2003,162,0.42,41900,20992,0.501
"Minnesota Twins","MIN",90,72,"Hubert H Humphrey Metrodome",1946011,2003,162,0.556,56144,24025,0.428
"Montreal Expos","WSN",83,79,"Stade Olympique",1025639,2003,162,0.512,46500,12662,0.272
"New York Yankees","NYY",101,61,"Yankee Stadium",3465600,2003,162,0.623,56937,42785,0.751
"New York Mets","NYM",66,95,"Shea Stadium",2140599,2003,161,0.41,57333,26591,0.464
"Oakland Athletics","OAK",96,66,"Oakland Coliseum",2216596,2003,162,0.593,35067,27365,0.78
"Philadelphia Phillies","PHI",86,76,"Veterans Stadium",2259948,2003,162,0.531,62623,27901,0.446
"Pittsburgh Pirates","PIT",75,87,"PNC Park",1636751,2003,162,0.463,38496,20207,0.525
"San Diego Padres","SDP",64,98,"Qualcomm Stadium",2030084,2003,162,0.395,56133,25063,0.446
"Seattle Mariners","SEA",93,69,"Safeco Field",3268509,2003,162,0.574,47116,40352,0.856
"San Francisco Giants","SFG",100,61,"AT&T Park",3264898,2003,161,0.621,41915,40558,0.968
"St. Louis Cardinals","STL",85,77,"Busch Stadium II",2910386,2003,162,0.525,49676,35931,0.723
"Tampa Bay Devil Rays","TBR",63,99,"Tropicana Field",1058695,2003,162,0.389,31042,13070,0.421
"Texas Rangers","TEX",71,91,"Rangers Ballpark in Arlington",2094394,2003,162,0.438,48911,25857,0.529
"Toronto Blue Jays","TOR",86,76,"Skydome",1799458,2003,162,0.531,50516,22216,0.44
"Anaheim Angels","LAA",92,70,"Angel Stadium",3375677,2004,162,0.568,45493,41675,0.916
"Arizona Diamondbacks","ARI",51,111,"Chase Field",2519560,2004,162,0.315,48519,31106,0.641
"Atlanta Braves","ATL",96,66,"Turner Field",2327565,2004,162,0.593,50096,28735,0.574
"Baltimore Orioles","BAL",78,84,"Oriole Park at Camden Yards",2744018,2004,162,0.481,45971,33877,0.737
"Boston Red Sox","BOS",98,64,"Fenway Park",2837294,2004,162,0.605,37673,35028,0.93
"Chicago White Sox","CHW",83,79,"U.S. Cellular Field",1930537,2004,162,0.512,40615,23834,0.587
"Chicago Cubs","CHC",89,73,"Wrigley Field",3170154,2004,162,0.549,40929,39138,0.956
"Cincinnati Reds","CIN",76,86,"Great American Ball Park",2287250,2004,162,0.469,42271,28238,0.668
"Cleveland Indians","CLE",80,82,"Progressive Field",1814401,2004,162,0.494,37630,22400,0.595
"Colorado Rockies","COL",68,94,"Coors Field",2338069,2004,162,0.42,50398,28865,0.573
"Detroit Tigers","DET",72,90,"Comerica Park",1917004,2004,162,0.444,41574,23667,0.569
"Florida Marlins","MIA",83,79,"Pro Player Stadium",1723105,2004,162,0.512,47972,21273,0.443
"Houston Astros","HOU",92,70,"Minute Maid Park",3087872,2004,162,0.568,41574,38122,0.917
"Kansas City Royals","KCR",58,104,"Kauffman Stadium",1661478,2004,162,0.358,38177,20512,0.537
"Los Angeles Dodgers","LAD",93,69,"Dodger Stadium",3488283,2004,162,0.574,56000,43065,0.769
"Milwaukee Brewers","MIL",67,94,"Miller Park",2062382,2004,161,0.416,41900,25620,0.611
"Minnesota Twins","MIN",92,70,"Hubert H Humphrey Metrodome",1911490,2004,162,0.568,56144,23599,0.42
"Montreal Expos","WSN",67,95,"Stade Olympique",749550,2004,162,0.414,46500,9254,0.199
"New York Yankees","NYY",101,61,"Yankee Stadium",3775292,2004,162,0.623,56937,46609,0.819
"New York Mets","NYM",71,91,"Shea Stadium",2318951,2004,162,0.438,57333,28629,0.499
"Oakland Athletics","OAK",91,71,"Oakland Coliseum",2201516,2004,162,0.562,35067,27179,0.775
"Philadelphia Phillies","PHI",86,76,"Citizens Bank Park",3250092,2004,162,0.531,43826,40125,0.916
"Pittsburgh Pirates","PIT",72,89,"PNC Park",1580031,2004,161,0.447,38496,19628,0.51
"San Diego Padres","SDP",87,75,"Petco Park",3016752,2004,162,0.537,41164,37244,0.905
"Seattle Mariners","SEA",63,99,"Safeco Field",2940731,2004,162,0.389,47116,36305,0.771
"San Francisco Giants","SFG",91,71,"AT&T Park",3256854,2004,162,0.562,41915,40208,0.959
"St. Louis Cardinals","STL",105,57,"Busch Stadium II",3048427,2004,162,0.648,49676,37635,0.758
"Tampa Bay Devil Rays","TBR",70,91,"Tropicana Field",1274911,2004,161,0.435,31042,15837,0.51
"Texas Rangers","TEX",89,73,"Rangers Ballpark in Arlington",2513685,2004,162,0.549,48911,31033,0.634
